ticker,company_name,url,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,topix_open_at_appointment,topix_close_at_resignation,excess_return_annual,tenure_years,photo_paths,photo_count,source
5715,古河機械金属,https://www.furukawakk.co.jp/,戸川　稔,current,2025年9月,,2650.83,,,,,,photos_2/5715_古河機械金属/current/photo_01.jpg,1,current
5706,三井金属鉱業,https://www.mitsui-kinzoku.com/,納　武士,current,,,,,,,,,photos_2/5706_三井金属鉱業/current/photo_01.jpg,1,current
5714,DOWAホールディングス,https://hd.dowa.co.jp/,院前 伊集院,prev_1,,,,,,,,,photos_2/5714_DOWAホールディングス/history/01_院前_伊集院/photo_01.jpg,1,history
5724,アサカ理研,https://www.asaka.co.jp/,山田 浩太,current,2022年10月,,1730.76,,,,,,photos_2/5724_アサカ理研/current/photo_01.jpg,1,current
5741,UACJ,https://www.uacj.co.jp/,田中 信二,prev_1,2002年頃,,,,,,,,photos_2/5741_UACJ/history/01_田中_信二/photo_01.jpg,1,history
5729,日本精鉱,https://www.nihonseiko.co.jp/,"強化
既存事",current,2025年6月,,4614.09,,,,,,photos_2/5729_日本精鉱/current/photo_01.jpg,1,current
5801,古河電気工業,https://www.furukawa.co.jp/,"氏名
小林",current,2025年6月,,5743.0,,,,,,photos_2/5801_古河電気工業/current/photo_01.jpg,1,current
5801,古河電気工業,https://www.furukawa.co.jp/,敬一 出演決,prev_1,,,,,,,,,photos_2/5801_古河電気工業/history/01_敬一_出演決/photo_01.jpg,1,history
5803,フジクラ,https://www.fujikura.co.jp/,線材　増産投,current,2026/02/09,,19500.0,,,,,,"photos_2/5803_フジクラ/current/photo_01.jpg,photos_2/5803_フジクラ/current/photo_02.jpg",2,current
5753,日本伸銅,https://www.nippon-shindo.co.jp/,高倉　英朗,current,,,,,,,,,photos_2/5753_日本伸銅/current/photo_01.jpg,1,current
5821,平河ヒューテック,https://www.hewtech.co.jp/,合会 会頭,prev_1,,,,,,,,,photos_2/5821_平河ヒューテック/history/01_合会_会頭/photo_01.jpg,1,history
5820,三ッ星,https://www.kk-mitsuboshi.co.jp/,進士仁一,prev_1,,,,,,,,,photos_2/5820_三ッ星/history/01_進士仁一/photo_01.jpg,1,history
5820,三ッ星,https://www.kk-mitsuboshi.co.jp/,手塚卓志,prev_2,,,,,,,,,photos_2/5820_三ッ星/history/02_手塚卓志/photo_01.jpg,1,history
5830,いよぎんホールディングス,https://www.iyogin-hd.co.jp/,三好 賢治,current,2025年11月,,2143.5,,,,,,photos_2/5830_いよぎんホールディングス/current/photo_01.jpg,1,current
5831,しずおかフィナンシャルグループ,https://www.shizuoka-fg.co.jp/,平素,current,2022年10月,,787.37,,,,,,"photos_2/5831_しずおかフィナンシャルグループ/current/photo_01.jpg,photos_2/5831_しずおかフィナンシャルグループ/current/photo_02.jpg",2,current
5832,ちゅうぎんフィナンシャルグループ,https://www.chugin-fg.co.jp/,検索 検索,current,2022年10月,,791.44,,,,,,,0,current
5838,楽天銀行,https://www.rakuten-bank.co.jp/,藤原 弘治取,prev_1,2022年4月1日,2022年4月1日,,,,,,,photos_2/5838_楽天銀行/history/01_藤原_弘治取/photo_01.jpg,1,history
5838,楽天銀行,https://www.rakuten-bank.co.jp/,頭取 藤原弘,prev_2,2021年8月,,,,,,,,photos_2/5838_楽天銀行/history/02_頭取_藤原弘/photo_01.jpg,1,history
